,Date,Offset,Sleep
632,2017-12-06 05:32:00,-28,1
633,2017-12-06 05:33:00,-27,1
634,2017-12-06 05:34:00,-26,1
635,2017-12-06 05:35:00,-25,1
636,2017-12-06 05:36:00,-24,1
637,2017-12-06 05:37:00,-23,1
638,2017-12-06 05:38:00,-22,1
639,2017-12-06 05:39:00,-21,1
640,2017-12-06 05:40:00,-20,1
641,2017-12-06 05:41:00,-19,1
642,2017-12-06 05:42:00,-18,1
643,2017-12-06 05:43:00,-17,1
644,2017-12-06 05:44:00,-16,1
645,2017-12-06 05:45:00,-15,1
646,2017-12-06 05:46:00,-14,1
647,2017-12-06 05:47:00,-13,1
648,2017-12-06 05:48:00,-12,1
649,2017-12-06 05:49:00,-11,1
650,2017-12-06 05:50:00,-10,1
651,2017-12-06 05:51:00,-9,1
652,2017-12-06 05:52:00,-8,1
653,2017-12-06 05:53:00,-7,1
654,2017-12-06 05:54:00,-6,1
655,2017-12-06 05:55:00,-5,1
656,2017-12-06 05:56:00,-4,1
657,2017-12-06 05:57:00,-3,0
658,2017-12-06 05:58:00,-2,0
659,2017-12-06 05:59:00,-1,0
660,2017-12-06 06:00:00,0,0
661,2017-12-06 06:01:00,1,0
662,2017-12-06 06:02:00,2,0
663,2017-12-06 06:03:00,3,0
664,2017-12-06 06:04:00,4,0
665,2017-12-06 06:05:00,5,0
666,2017-12-06 06:06:00,6,0
667,2017-12-06 06:07:00,7,0
668,2017-12-06 06:08:00,8,0
669,2017-12-06 06:09:00,9,0
670,2017-12-06 06:10:00,10,0
671,2017-12-06 06:11:00,11,0
672,2017-12-06 06:12:00,12,0
673,2017-12-06 06:13:00,13,0
674,2017-12-06 06:14:00,14,0
675,2017-12-06 06:15:00,15,0
676,2017-12-06 06:16:00,16,0
677,2017-12-06 06:17:00,17,0
678,2017-12-06 06:18:00,18,0
679,2017-12-06 06:19:00,19,0
680,2017-12-06 06:20:00,20,0
681,2017-12-06 06:21:00,21,0
682,2017-12-06 06:22:00,22,0
683,2017-12-06 06:23:00,23,0
684,2017-12-06 06:24:00,24,0
685,2017-12-06 06:25:00,25,0
686,2017-12-06 06:26:00,26,0
687,2017-12-06 06:27:00,27,0
688,2017-12-06 06:28:00,28,0
689,2017-12-06 06:29:00,29,0
690,2017-12-06 06:30:00,30,0
691,2017-12-06 06:31:00,31,0
692,2017-12-06 06:32:00,32,0
693,2017-12-06 06:33:00,33,0
694,2017-12-06 06:34:00,34,0
695,2017-12-06 06:35:00,35,0
696,2017-12-06 06:36:00,36,0
697,2017-12-06 06:37:00,37,0
698,2017-12-06 06:38:00,38,0
699,2017-12-06 06:39:00,39,0
700,2017-12-06 06:40:00,40,0
701,2017-12-06 06:41:00,41,0
702,2017-12-06 06:42:00,42,0
